url,date,rawContent,username,likeCount,replyCount,retweetCount,quoteCount,cashtags,hashtags,viewCount
https://twitter.com/ChrisCamillo/status/1607531189426065413,2022-12-27 00:17:56+00:00,"@sachit_sachdev @sama Institutional, financially minded investors are systematically biased in numerous ways, mis-incentivized, out of touch, slow to pivot/recognize change, &amp; rarely escape group think. They spend crazy $ to surface what we already know. I’ve seen behind the curtain. It’s a facade.",ChrisCamillo,17,2,1,0,,,1275.0
https://twitter.com/ChrisCamillo/status/1607503981487570950,2022-12-26 22:29:49+00:00,@sama Wall Street is rigged in favor of ordinary people over “professional investors”,ChrisCamillo,34,7,3,1,,,13318.0
https://twitter.com/Stocktwits/status/1606646145777864704,2022-12-24 13:41:05+00:00,Merry Christmas and Happy Holidays from all of us at Stocktwits! https://t.co/Be4FMqla9R,Stocktwits,64,9,10,0,,,36202.0
https://twitter.com/Stocktwits/status/1606472000217952256,2022-12-24 02:09:06+00:00,Looks like some crypto was feeling jolly today. https://t.co/K2oRv8q52h https://t.co/ZyHjk2Q4Qz,Stocktwits,12,2,3,1,,,35442.0
https://twitter.com/Stocktwits/status/1606458592785489925,2022-12-24 01:15:49+00:00,$Meta Settles For Mega Bucks https://t.co/KiO61jxTGV https://t.co/H5T4GxXyD2,Stocktwits,12,0,2,0,['Meta'],,30458.0
https://twitter.com/ChrisCamillo/status/1606413301352636416,2022-12-23 22:15:51+00:00,@compulsivestart Good question for OpenAI. https://t.co/a7yzKYgXVe,ChrisCamillo,2,1,0,0,,,601.0
https://twitter.com/Stocktwits/status/1606408831956918285,2022-12-23 21:58:05+00:00,"“Yes, indeed the goose is getting fat - we have a big bill here because we had big needs for our country."" - Nancy Pelosi https://t.co/8wwG23kP1N",Stocktwits,17,18,5,1,,,35226.0
https://twitter.com/ChrisCamillo/status/1606395645002219520,2022-12-23 21:05:41+00:00,@vincentdiong That is opposite of what my humanoid robot engineer buddy told me,ChrisCamillo,5,3,0,0,,,785.0
https://twitter.com/Stocktwits/status/1606395023720947717,2022-12-23 21:03:13+00:00,"The markets are closed! 🔔

Here were today's top stories! 👇
✧ NASDAQ and S&amp;P hit 3 week streak lower.
✦ All indices close green for the day.
✧ Snow-mageddon cancels 4.4k flights and rising.
✦ Christmas weekend! Finally!
https://t.co/jt5vFdq0s6 https://t.co/DI10msdIRt",Stocktwits,16,6,6,1,,,27519.0
https://twitter.com/ChrisCamillo/status/1606394672175276034,2022-12-23 21:01:49+00:00,"@Sebastian_chirp Humanoid to pick up, wash, fold, hang dirty laundry",ChrisCamillo,2,2,0,0,,,535.0
https://twitter.com/ChrisCamillo/status/1606386580234637316,2022-12-23 20:29:40+00:00,Obvious or ridiculous prediction? Humanoid robots will outsize the automotive sector and become Tesla’s #1 selling product within 20yrs. I don’t currently own $TSLA,ChrisCamillo,130,44,5,1,['TSLA'],,31417.0
https://twitter.com/Stocktwits/status/1606371196773072896,2022-12-23 19:28:32+00:00,"Some takeaways: https://t.co/ymdGLvN5mP
1. It’s been 90 years since the end of the last 4-year losing streak
2. 20 years since the previous 3-year losing streak
3. 48 years since the previous 2-year losing streak",Stocktwits,6,3,1,0,,,22374.0
https://twitter.com/Stocktwits/status/1606371194696933376,2022-12-23 19:28:32+00:00,What Happens To Stocks After A Losing Year? https://t.co/ymdGLvN5mP https://t.co/qWrx4EmynK,Stocktwits,26,2,2,0,,,29514.0
https://twitter.com/Stocktwits/status/1606342042115723264,2022-12-23 17:32:41+00:00,@MListerine https://t.co/y7zWbZV2HJ,Stocktwits,1,0,0,0,,,98.0
https://twitter.com/Stocktwits/status/1606341264198156293,2022-12-23 17:29:36+00:00,@David13David https://t.co/d0wlLB4krO,Stocktwits,1,0,0,0,,,147.0
https://twitter.com/Stocktwits/status/1606330238002008073,2022-12-23 16:45:47+00:00,@ScrappyCoco9999 https://t.co/AHMTHsqOKG,Stocktwits,0,0,0,0,,,157.0
https://twitter.com/Stocktwits/status/1606329938335764490,2022-12-23 16:44:36+00:00,@Stojanche17 https://t.co/U9Rljpxbnw,Stocktwits,0,1,0,0,,,148.0
https://twitter.com/Stocktwits/status/1606329848774791175,2022-12-23 16:44:14+00:00,@LAE0719 https://t.co/VDOB76hqGc,Stocktwits,0,0,0,0,,,138.0
https://twitter.com/Stocktwits/status/1606327658777714689,2022-12-23 16:35:32+00:00,Are you trading today?,Stocktwits,18,12,4,0,,,48160.0
https://twitter.com/Stocktwits/status/1606304617267990529,2022-12-23 15:03:59+00:00,"New Home Sales: 640,000 Annual Rate vs 600,000 est 🏘️",Stocktwits,17,2,4,0,,,32584.0
https://twitter.com/Stocktwits/status/1606296237992312832,2022-12-23 14:30:41+00:00,"The markets are open! 🔔

Here are some things in focus today.👇
✦ Indices mixed slightly lower at the open.
✧ Michigan Consumer Sentiment coming up.
✦ New Home Sales numbers on deck.
✧ Builders watching Lumber futures as it attempts to move off 2.5 year lows. https://t.co/zDNSYuxeqv",Stocktwits,11,2,3,1,,,23711.0
https://twitter.com/Stocktwits/status/1606108114884866048,2022-12-23 02:03:09+00:00,"If something hurts more than a goat’s backside after grazing in a ghost pepper patch, $TSLA's monthly chart is probably it. https://t.co/dYNqn57JZQ https://t.co/wRNzf1J8qq",Stocktwits,45,16,5,3,['TSLA'],,42512.0
https://twitter.com/ChrisCamillo/status/1606093913734795265,2022-12-23 01:06:43+00:00,@Petespick911 They are unlikely to benefit from this freeze as it will be short lived and the absence of ice means electric and pumps should stay turned on,ChrisCamillo,0,1,0,0,,,341.0
https://twitter.com/ChrisCamillo/status/1606075229909897218,2022-12-22 23:52:28+00:00,@Tiptoe_Crypto_ Water is at 46 right now so assume I’m good above 32,ChrisCamillo,0,0,0,0,,,420.0
https://twitter.com/ChrisCamillo/status/1606073667632320514,2022-12-22 23:46:16+00:00,Likelihood my pool equipment setup which includes a space heater under this mess keeps it running above freezing through mid single digit temps tonight? https://t.co/OF0gcp563b,ChrisCamillo,16,20,0,0,,,21938.0
https://twitter.com/ChrisCamillo/status/1606044204387295232,2022-12-22 21:49:11+00:00,@realMeetKevin Friends and family discount on charters?,ChrisCamillo,36,2,0,0,,,21932.0
https://twitter.com/Stocktwits/status/1606032117321826304,2022-12-22 21:01:10+00:00,"The markets are closed! 🔔

Here were today's top stories! 👇
✧ Indices off lows, but yesterday's gains still wiped out.
✦ $TSLA on track for worst month and year in its history.
✧ Revised GDP numbers and jobless claims stoke fears the Fed may keep hiking. https://t.co/7mFvwY2rBC",Stocktwits,15,2,4,1,['TSLA'],,21707.0
https://twitter.com/Stocktwits/status/1606000313126817808,2022-12-22 18:54:47+00:00,Home for the Holidays https://t.co/U1TTqFFqIn,Stocktwits,98,9,25,8,,,53511.0
https://twitter.com/Stocktwits/status/1605991718704160769,2022-12-22 18:20:38+00:00,🩸 https://t.co/JAIa0IV0wa,Stocktwits,131,15,39,7,,,52025.0
https://twitter.com/Stocktwits/status/1605933685097656320,2022-12-22 14:30:01+00:00,"The markets are open! 🔔

Here are some things in focus today.👇
✦ Futures pull back from yesterday's gainz.
✧ Santa sends Snow-magedon to much of the U.S.
✦ Airlines are quickly canceling flights.
✧ Eyes on tomorrow's Personal Spending and PCE Price Index numbers. https://t.co/BnQPhyrxYd",Stocktwits,7,1,3,1,,,18566.0
https://twitter.com/Stocktwits/status/1605922572540907520,2022-12-22 13:45:52+00:00,"U.S. jobless claims: 216,000 vs 222,000 estimated",Stocktwits,31,3,7,1,,,31917.0
https://twitter.com/Stocktwits/status/1605781305601318914,2022-12-22 04:24:31+00:00,Santa hates crypto more than any naughty deed you've done 🎅🏼  https://t.co/Ayk6aBXady https://t.co/CCXCSgw2Rs,Stocktwits,19,5,1,0,,,27306.0
https://twitter.com/Stocktwits/status/1605773794571800576,2022-12-22 03:54:41+00:00,"FTX's Gary Wang, Alameda's Caroline Ellison plead guilty to federal charges, cooperating with prosecutors https://t.co/n302r7POpL",Stocktwits,14,1,2,0,,,21277.0
https://twitter.com/Stocktwits/status/1605773791480553472,2022-12-22 03:54:40+00:00,"Well, now we know",Stocktwits,22,2,2,0,,,46447.0
https://twitter.com/Stocktwits/status/1605766141975990273,2022-12-22 03:24:16+00:00,$NKE and $FDX deliver https://t.co/Uw70inzrxX https://t.co/oxUS82Yohn,Stocktwits,48,1,9,1,"['NKE', 'FDX']",,32827.0
https://twitter.com/ChrisCamillo/status/1605701028061519875,2022-12-21 23:05:32+00:00,Beautifully executed example of human assisted AI motion art,ChrisCamillo,13,1,0,0,,,11706.0
https://twitter.com/Stocktwits/status/1605687403066245120,2022-12-21 22:11:23+00:00,@MemeingBitcoin https://t.co/9ivsyp8xsW,Stocktwits,1,1,0,0,,,328.0
https://twitter.com/Stocktwits/status/1605686606710460416,2022-12-21 22:08:13+00:00,@tracyalloway https://t.co/0yjXqQNV8z,Stocktwits,4,0,0,0,,,955.0
https://twitter.com/Stocktwits/status/1605686150592487425,2022-12-21 22:06:25+00:00,@AltcoinDailyio https://t.co/w1ZMD55dMW,Stocktwits,5,2,1,0,,,472.0
https://twitter.com/Stocktwits/status/1605685751735123968,2022-12-21 22:04:50+00:00,@BobaTrader https://t.co/GvYNvAQ56i,Stocktwits,4,5,0,0,,,657.0
