datetime,symbol,open,high,low,close,volume
2022-11-29 18:40:00,NASDAQ:MSFT,239.41,239.68,239.4,239.66,7365.0
2022-11-29 18:45:00,NASDAQ:MSFT,239.67,239.94,239.61,239.78,5675.0
2022-11-29 18:50:00,NASDAQ:MSFT,239.78,239.97,239.67,239.9,4800.0
2022-11-29 18:55:00,NASDAQ:MSFT,239.94,240.13,239.9,240.07,5575.0
2022-11-29 19:00:00,NASDAQ:MSFT,240.13,240.89,240.13,240.69,13608.0
2022-11-29 19:05:00,NASDAQ:MSFT,240.74,240.77,240.3,240.42,16898.0
2022-11-29 19:10:00,NASDAQ:MSFT,240.44,240.56,240.38,240.45,5110.0
2022-11-29 19:15:00,NASDAQ:MSFT,240.47,240.51,240.34,240.34,3745.0
2022-11-29 19:20:00,NASDAQ:MSFT,240.31,240.34,240.06,240.08,5451.0
2022-11-29 19:25:00,NASDAQ:MSFT,240.13,240.17,239.95,240.05,4805.0
2022-11-29 19:30:00,NASDAQ:MSFT,240.07,240.1,239.83,239.91,7298.0
2022-11-29 19:35:00,NASDAQ:MSFT,239.96,240.04,239.69,239.91,3900.0
2022-11-29 19:40:00,NASDAQ:MSFT,239.97,240.05,239.7,239.79,3200.0
2022-11-29 19:45:00,NASDAQ:MSFT,239.78,239.85,239.65,239.78,5120.0
2022-11-29 19:50:00,NASDAQ:MSFT,239.78,240.0,239.78,239.87,4301.0
2022-11-29 19:55:00,NASDAQ:MSFT,239.88,240.02,239.82,240.02,4814.0
2022-11-29 20:00:00,NASDAQ:MSFT,240.04,240.19,239.9,239.93,6195.0
2022-11-29 20:05:00,NASDAQ:MSFT,240.02,240.38,240.02,240.38,8154.0
2022-11-29 20:10:00,NASDAQ:MSFT,240.33,240.33,240.18,240.28,7600.0
2022-11-29 20:15:00,NASDAQ:MSFT,240.32,240.37,240.12,240.2,7226.0
2022-11-29 20:20:00,NASDAQ:MSFT,240.18,240.37,239.83,239.91,13226.0
2022-11-29 20:25:00,NASDAQ:MSFT,239.94,240.09,239.81,240.01,11095.0
2022-11-29 20:30:00,NASDAQ:MSFT,239.99,240.16,239.65,240.0,16834.0
2022-11-29 20:35:00,NASDAQ:MSFT,240.03,240.1,239.46,239.78,16430.0
2022-11-29 20:40:00,NASDAQ:MSFT,239.76,239.94,239.75,239.75,11213.0
2022-11-29 20:45:00,NASDAQ:MSFT,239.7,239.88,239.52,239.86,13245.0
2022-11-29 20:50:00,NASDAQ:MSFT,239.87,240.12,239.69,240.12,14673.0
2022-11-29 20:55:00,NASDAQ:MSFT,240.11,240.64,240.08,240.3,80808.0
2022-11-30 14:30:00,NASDAQ:MSFT,240.55,242.7,239.9,242.67,40671.0
2022-11-30 14:35:00,NASDAQ:MSFT,242.58,243.11,242.09,242.26,29281.0
2022-11-30 14:40:00,NASDAQ:MSFT,242.49,243.86,242.49,243.86,20215.0
2022-11-30 14:45:00,NASDAQ:MSFT,243.88,243.91,243.2,243.27,9450.0
2022-11-30 14:50:00,NASDAQ:MSFT,243.27,243.6,242.97,243.245,12939.0
2022-11-30 14:55:00,NASDAQ:MSFT,243.265,243.7,243.06,243.48,14375.0
2022-11-30 15:00:00,NASDAQ:MSFT,243.47,243.81,242.35,242.67,12987.0
2022-11-30 15:05:00,NASDAQ:MSFT,242.69,243.25,242.45,243.03,9787.0
2022-11-30 15:10:00,NASDAQ:MSFT,243.02,243.18,242.17,242.24,12540.0
2022-11-30 15:15:00,NASDAQ:MSFT,242.21,242.43,241.85,241.95,12491.0
2022-11-30 15:20:00,NASDAQ:MSFT,241.92,242.11,241.86,241.94,9583.0
2022-11-30 15:25:00,NASDAQ:MSFT,241.91,241.99,241.64,241.89,9283.0
2022-11-30 15:30:00,NASDAQ:MSFT,241.94,241.94,241.23,241.38,10493.0
2022-11-30 15:35:00,NASDAQ:MSFT,241.37,241.85,241.36,241.61,11066.0
2022-11-30 15:40:00,NASDAQ:MSFT,241.63,241.84,241.58,241.72,6600.0
2022-11-30 15:45:00,NASDAQ:MSFT,241.58,241.58,241.1,241.12,8205.0
2022-11-30 15:50:00,NASDAQ:MSFT,241.11,241.42,240.97,240.97,7051.0
2022-11-30 15:55:00,NASDAQ:MSFT,240.97,241.27,240.96,241.03,6865.0
2022-11-30 16:00:00,NASDAQ:MSFT,241.1,241.29,240.57,240.81,6723.0
2022-11-30 16:05:00,NASDAQ:MSFT,240.72,241.24,240.71,241.19,6550.0
2022-11-30 16:10:00,NASDAQ:MSFT,241.21,241.35,240.97,240.97,7542.0
2022-11-30 16:15:00,NASDAQ:MSFT,240.97,241.27,240.86,240.92,5377.0
